Gene_ID	GO_Term
PCYT1A	GO:0004105
PCYT1A	GO:0006629
PCYT1A	GO:0006656
PCYT1A	GO:0006657
PCYT1A	GO:0008654
PCYT1A	GO:0009058
ACSS2	GO:0000166
ACSS2	GO:0003987
ACSS2	GO:0003987
ACSS2	GO:0003987
ACSS2	GO:0005524
ACSS2	GO:0005524
ACSS2	GO:0016208
ACSS2	GO:0016405
ACSS2	GO:0016874
ACSS2	GO:0016878
ACSS2	GO:0050218
ACSS2	GO:0006629
ACSS2	GO:0019427
ADGRL4	GO:0004888
ADGRL4	GO:0004930
ADGRL4	GO:0005509
ADGRL4	GO:0007166
ADGRL4	GO:0007186
ADGRL4	GO:0005886
ADGRL4	GO:0005886
ADGRL4	GO:0016020
ADGRL4	GO:0016020
HOPX	GO:0003677
HOPX	GO:0003677
HOPX	GO:0003677
HOPX	GO:0003677
HOPX	GO:0030154
HOPX	GO:0005634
HOPX	GO:0005634
HOPX	GO:0005634
ST3GAL3	GO:0008373
ST3GAL3	GO:0016757
ST3GAL3	GO:0006486
ST3GAL3	GO:0097503
ST3GAL3	GO:0005794
ST3GAL3	GO:0016020
ST3GAL3	GO:0016020
LMO1	GO:0046872
HGD	GO:0004411
HGD	GO:0004411
HGD	GO:0004411
HGD	GO:0046872
HGD	GO:0006520
HGD	GO:0006559
HGD	GO:0006559
HGD	GO:0006570
RAP1GDS1	GO:0005085
RAP1GDS1	GO:0043547
RAP1GDS1	GO:0005739
RAP1GDS1	GO:0005739
RAP1GDS1	GO:0005783
RAP1GDS1	GO:0005829
KCNC1	GO:0005216
KCNC1	GO:0005244
KCNC1	GO:0005249
KCNC1	GO:0005267
KCNC1	GO:0006811
KCNC1	GO:0006811
KCNC1	GO:0006813
KCNC1	GO:0006813
KCNC1	GO:0034765
KCNC1	GO:0051260
KCNC1	GO:0055085
KCNC1	GO:0071805
KCNC1	GO:0016020
KCNC1	GO:0016020
KCNC1	GO:0016020
KCNC1	GO:0008076
A0A674G7D3	GO:0004467
A0A674G7D3	GO:0015245
A0A674G7D3	GO:0031957
A0A674G7D3	GO:0001676
A0A674G7D3	GO:0006699
A0A674G7D3	GO:0015908
A0A674G7D3	GO:0016020
SF3B3	GO:0003676
SF3B3	GO:0005634
SF3B3	GO:0005634
CCDC91	GO:0048193
LZIC	GO:0008013
LOC105759942	GO:0006629
CYB5B	GO:0020037
CYB5B	GO:0020037
CYB5B	GO:0046872
CYB5B	GO:0046872
CYB5B	GO:0016020
A0A674G7E2	GO:0000166
A0A674G7E2	GO:0003774
A0A674G7E2	GO:0003774
A0A674G7E2	GO:0003779
A0A674G7E2	GO:0005524
A0A674G7E2	GO:0005524
A0A674G7E2	GO:0005524
A0A674G7E2	GO:0051015
A0A674G7E2	GO:0016459
A0A674G7E2	GO:0016459
A0A674G7E3	GO:0004930
A0A674G7E3	GO:0007186
A0A674G7E3	GO:0016020
ACSF3	GO:0006629
HERPUD2	GO:0006986
HERPUD2	GO:0016020
FNDC10	GO:0016020
SNX9	GO:0035091
SNX9	GO:0000278
SNX9	GO:0000281
SNX9	GO:0006886
SNX9	GO:0006897
SNX9	GO:0015031
SNX9	GO:0015031
SNX9	GO:0016020
SNX9	GO:0030659
SNX9	GO:0031410
NFASC	GO:0007155
NFASC	GO:0007411
NFASC	GO:0007422
NFASC	GO:0019226
NFASC	GO:0042552
NFASC	GO:0050808
NFASC	GO:0005886
NFASC	GO:0016020
NFASC	GO:0016020
AMN	GO:0015031
AMN	GO:0005886
AMN	GO:0005886
AMN	GO:0016020
AMN	GO:0016020
MCHR1	GO:0004930
MCHR1	GO:0004930
MCHR1	GO:0030273
MCHR1	GO:0007165
MCHR1	GO:0007186
MCHR1	GO:0007186
MCHR1	GO:0007218
MCHR1	GO:0005886
MCHR1	GO:0005886
MCHR1	GO:0016020
MCHR1	GO:0016020
CSTF2	GO:0003676
CSTF2	GO:0003723
CSTF2	GO:0003723
CSTF2	GO:0003723
CSTF2	GO:0006378
CSTF2	GO:0031124
CSTF2	GO:0005634
CSTF2	GO:0005634
CSTF2	GO:0005847
INTU	GO:0001736
INTU	GO:0016192
INTU	GO:0030030
INTU	GO:0060271
INTU	GO:0005737
INTU	GO:0009986
A0A674G7F5	GO:0002250
A0A674G7F5	GO:0002504
A0A674G7F5	GO:0006955
A0A674G7F5	GO:0019882
A0A674G7F5	GO:0016020
A0A674G7F5	GO:0016020
A0A674G7F5	GO:0042613
A0A674G7F5	GO:0042613
CDH5	GO:0005509
CDH5	GO:0005509
CDH5	GO:0046872
CDH5	GO:0001955
CDH5	GO:0007155
CDH5	GO:0007155
CDH5	GO:0007156
CDH5	GO:0098609
CDH5	GO:0005886
CDH5	GO:0005886
CDH5	GO:0005886
CDH5	GO:0016020
CDH5	GO:0016020
CDH5	GO:0016020
CDH5	GO:0070161
MIDN	GO:0005634
MIDN	GO:0016020
SPTAN1	GO:0003779
SPTAN1	GO:0005509
SPTAN1	GO:0005516
SPTAN1	GO:0046872
SPTAN1	GO:0051693
SPTAN1	GO:0005737
SPTAN1	GO:0005856
SPTAN1	GO:0005938
SPTAN1	GO:0043232
FAT3	GO:0005509
FAT3	GO:0005509
FAT3	GO:0007155
FAT3	GO:0007156
FAT3	GO:0005886
FAT3	GO:0016020
FAT3	GO:0016020
ELOVL5	GO:0009922
ELOVL5	GO:0009922
ELOVL5	GO:0016740
ELOVL5	GO:0102756
ELOVL5	GO:0006629
ELOVL5	GO:0006629
ELOVL5	GO:0006631
ELOVL5	GO:0006633
ELOVL5	GO:0006636
ELOVL5	GO:0006636
ELOVL5	GO:0019367
ELOVL5	GO:0034625
ELOVL5	GO:0034626
ELOVL5	GO:0035338
ELOVL5	GO:0042761
ELOVL5	GO:0042761
ELOVL5	GO:0005783
ELOVL5	GO:0005783
ELOVL5	GO:0005789
ELOVL5	GO:0005789
ELOVL5	GO:0016020
ELOVL5	GO:0016020
ELOVL5	GO:0030425
ELOVL5	GO:0042995
ABCC8	GO:0000166
ABCC8	GO:0005524
ABCC8	GO:0005524
ABCC8	GO:0008281
ABCC8	GO:0140359
ABCC8	GO:0006813
ABCC8	GO:0055085
ABCC8	GO:0016020
ABCC8	GO:0016020
PCNT	GO:0060090
PCNT	GO:0007165
PCNT	GO:0005737
PCNT	GO:0005737
PCNT	GO:0005815
PCNT	GO:0005815
PCNT	GO:0005856
SLC13A1	GO:0022857
SLC13A1	GO:0006814
SLC13A1	GO:0055085
SLC13A1	GO:0016020
SLC13A1	GO:0016020
SLC13A1	GO:0016020
MRPL19	GO:0003735
MRPL19	GO:0006412
MRPL19	GO:0005840
VPS26A	GO:0006886
BRIP1	GO:0000166
BRIP1	GO:0003676
BRIP1	GO:0003677
BRIP1	GO:0003678
BRIP1	GO:0004386
BRIP1	GO:0004386
BRIP1	GO:0005524
BRIP1	GO:0005524
BRIP1	GO:0016787
BRIP1	GO:0016818
BRIP1	GO:0006139
BRIP1	GO:0032508
BRIP1	GO:0005634
RER1	GO:0051179
RER1	GO:0005737
RER1	GO:0016020
RER1	GO:0016020
RER1	GO:0043231
A0A674G7H5	GO:0038023
